timestamp,sensor,x,y,z
1778964577630,Accelerometer,0.20700002,-9.67905,-0.147
1778964577646,Accelerometer,0.27600002,-9.636001,0.354
1778964577660,Accelerometer,0.09,-9.861,0.92205006
1778964577660,Accelerometer,-0.043050002,-9.981001,0.85200006
1778964577678,Accelerometer,-0.01905,-9.844951,0.49800003
1778964577678,Accelerometer,-0.079050004,-9.706051,0.30405003
1778964577678,Gyroscope,0.0774125,0.07755,0.0248875
1778964577695,Accelerometer,-0.19695,-9.65505,0.37605003
1778964577695,Accelerometer,-0.16800001,-9.703051,0.51495004
1778964577719,Accelerometer,-0.08595,-9.736951,0.64605004
1778964577719,Accelerometer,-0.027,-9.75105,0.57705003
1778964577739,Accelerometer,-0.052950002,-9.745951,0.47895002
1778964577739,Accelerometer,-0.13905,-9.745951,0.53400004
1778964577754,Accelerometer,-0.20400001,-9.801001,0.55305004
1778964577754,Accelerometer,-0.27105,-9.901951,0.642
1778964577754,Gyroscope,0.030524999,-0.0044,0.0323125
1778964577774,Accelerometer,-0.31905,-9.832951,0.62505
1778964577775,Accelerometer,-0.24000001,-9.712951,0.40500003
1778964577800,Accelerometer,-0.17505,-9.63405,0.30405003
1778964577800,Accelerometer,-0.108,-9.61005,0.36405003
1778964577819,Accelerometer,-0.072000004,-9.682051,0.48405004
1778964577820,Accelerometer,-0.18900001,-9.76605,0.56700003
1778964577833,Accelerometer,-0.30195,-9.70995,0.47205
1778964577844,Accelerometer,-0.37905002,-9.61005,0.41400003
1778964577844,Gyroscope,0.07535,-0.0044,0.0226875
1778964577855,Accelerometer,-0.35505003,-9.571951,0.47205
1778964577855,Accelerometer,-0.31605002,-9.648001,0.57900006
1778964577880,Accelerometer,-0.27105,-9.706051,0.75405
1778964577880,Accelerometer,-0.21300001,-9.75405,0.79995006
1778964577900,Accelerometer,-0.156,-9.769951,0.76095
1778964577900,Accelerometer,-0.16095,-9.757951,0.72105
1778964577915,Accelerometer,-0.17505,-9.73005,0.582
1778964577915,Accelerometer,-0.22095,-9.708,0.50295
1778964577915,Gyroscope,0.0253,-0.0587125,-0.0039875
1778964577937,Accelerometer,-0.30705002,-9.74895,0.558
1778964577937,Accelerometer,-0.33105,-9.801001,0.45495003
1778964577960,Accelerometer,-0.19695,-9.78195,0.27495003
1778964577960,Accelerometer,-0.10605001,-9.768001,0.39495003
1778964577981,Accelerometer,-0.076950006,-9.801001,0.63705003
1778964577981,Accelerometer,-0.02205,-9.78495,0.80700004
1778964578000,Accelerometer,0.09705,-9.733951,0.85995007
1778964578000,Accelerometer,0.21195,-9.687,0.95505005
1778964578000,Gyroscope,0.0273625,0.045649998,0.0067375
1778964578014,Accelerometer,0.28800002,-9.727051,0.94605005
1778964578015,Accelerometer,0.35295,-9.801001,0.85995007
1778964578030,Accelerometer,0.41505003,-9.847051,0.80895007
1778964578041,Accelerometer,0.39105,-9.837001,0.83100003
1778964578060,Accelerometer,0.30795002,-9.856951,0.89505005
1778964578060,Accelerometer,0.19005,-9.871051,1.04205
