timestamp,sensor,x,y,z
1780861686949,Accelerometer,0.64605004,9.801001,1.095
1780861686949,Accelerometer,0.59295005,9.78705,1.074
1780861686950,Accelerometer,0.56895,9.81105,1.0500001
1780861686950,Accelerometer,0.56505,9.859051,1.09305
1780861686973,Accelerometer,0.53595,9.897,1.1050501
1780861686973,Accelerometer,0.46695003,9.954,1.143
1780861686974,Accelerometer,0.39495003,9.981001,1.12605
1780861686974,Accelerometer,0.36105,9.96405,1.0189501
1780861686986,Accelerometer,0.35205,9.916051,0.94905007
1780861686986,Accelerometer,0.354,9.871051,0.93195003
1780861686986,Accelerometer,0.37800002,9.82695,0.93195003
1780861686986,Accelerometer,0.41400003,9.816001,0.92100006
1780861687005,Accelerometer,0.41400003,9.792001,0.93195003
1780861687006,Accelerometer,0.411,9.77505,0.92505
1780861687006,Accelerometer,0.42105,9.757951,0.95400006
1780861687006,Accelerometer,0.43500003,9.7890005,0.99195004
1780861687026,Accelerometer,0.45900002,9.772051,1.00695
1780861687026,Accelerometer,0.546,9.736951,1.04295
1780861687026,Accelerometer,0.63195,9.700951,1.026
1780861687026,Accelerometer,0.73005,9.66495,1.0669501
1780861687033,Accelerometer,0.74895006,9.67695,1.12605
1780861687048,Accelerometer,0.79905003,9.70995,1.11195
1780861687048,Accelerometer,0.83295006,9.741,0.9799501
1780861687048,Accelerometer,0.85905004,9.693001,0.906
1780861687067,Accelerometer,0.56700003,9.859051,1.3110001
1780861687067,Accelerometer,0.61995006,9.909,0.93705004
1780861687068,Accelerometer,0.67995006,9.933001,0.89205
1780861687068,Accelerometer,0.65295005,9.93795,0.88005006
1780861687086,Accelerometer,0.59595,9.910951,0.90105003
1780861687086,Accelerometer,0.57195,9.87495,0.92805004
1780861687086,Accelerometer,0.558,9.81795,0.97800004
1780861687087,Accelerometer,0.546,9.77505,1.0309501
1780861687105,Accelerometer,0.57705003,9.78705,1.0639501
1780861687105,Accelerometer,0.60795003,9.81795,1.08105
1780861687106,Accelerometer,0.64395005,9.825001,1.09305
1780861687106,Accelerometer,0.61695004,9.84195,1.08105
1780861687125,Accelerometer,0.64395005,9.84195,1.0999501
1780861687126,Accelerometer,0.66495,9.813001,1.062
1780861687126,Accelerometer,0.68700004,9.765,1.023
1780861687126,Accelerometer,0.70095,9.739051,1.0669501
1780861687145,Accelerometer,0.684,9.729,1.1740501
1780861687145,Accelerometer,0.65295005,9.768001,1.2409501
1780861687146,Accelerometer,0.651,9.784051,1.2529501
1780861687146,Accelerometer,0.66495,9.825001,1.1890501
1780861687166,Accelerometer,0.68205005,9.837001,1.074
1780861687166,Accelerometer,0.68205005,9.8539505,0.98295003
1780861687166,Accelerometer,0.63195,9.89505,0.93705004
1780861687166,Accelerometer,0.59805006,9.8869505,0.88695
1780861687186,Accelerometer,0.522,9.880051,0.86100006
1780861687186,Accelerometer,0.46905002,9.85095,0.83400005
1780861687186,Accelerometer,0.42105,9.82005,0.84900004
1780861687186,Accelerometer,0.39705002,9.75105,0.89400005
1780861687206,Accelerometer,0.39705002,9.729,0.9799501
1780861687206,Accelerometer,0.411,9.70995,1.0999501
1780861687206,Accelerometer,0.44295,9.721951,1.2079501
1780861687206,Accelerometer,0.53400004,9.736951,1.296
1780861687225,Accelerometer,0.64605004,9.760051,1.3369501
1780861687226,Accelerometer,0.77505004,9.79395,1.3590001
1780861687226,Accelerometer,0.87600005,9.825001,1.335
1780861687226,Accelerometer,0.93600005,9.81795,1.27005
1780861687239,Accelerometer,0.92595005,9.835051,1.251
1780861687250,Accelerometer,0.81600004,9.865951,1.2750001
1780861687250,Accelerometer,0.68700004,9.8869505,1.30095
1780861687250,Accelerometer,0.58905005,9.84195,1.31805
1780861687265,Accelerometer,0.51705,9.79605,1.3729501
1780861687265,Accelerometer,0.47595003,9.712951,1.3780501
1780861687266,Accelerometer,0.44505003,9.64605,1.38495
1780861687266,Accelerometer,0.46695003,9.588,1.35405
1780861687285,Accelerometer,0.56700003,9.516001,1.31595
1780861687285,Accelerometer,0.59805006,9.555,1.3039501
1780861687285,Accelerometer,0.648,9.562051,1.3990501
1780861687285,Accelerometer,0.684,9.50895,1.3990501
1780861687306,Accelerometer,0.70095,9.47295,1.19295
1780861687306,Accelerometer,0.46695003,9.64305,1.4299501
1780861687306,Accelerometer,0.32505003,9.784051,1.57395
1780861687307,Accelerometer,0.28695002,9.93,1.5960001
1780861687325,Accelerometer,0.33705002,10.062,1.5840001
1780861687326,Accelerometer,0.45900002,10.14795,1.536
1780861687326,Accelerometer,0.57705003,10.182,1.5120001
1780861687326,Accelerometer,0.69600004,10.1320505,1.45395
1780861687346,Accelerometer,0.72705,10.053,1.42305
1780861687347,Accelerometer,0.75600004,9.94995,1.3920001
1780861687347,Accelerometer,0.73905003,9.859051,1.43505
1780861687347,Accelerometer,0.74205005,9.765,1.5289501
1780861687365,Accelerometer,0.83505005,9.736951,1.3420501
1780861687366,Accelerometer,0.81600004,9.78195,1.42305
1780861687366,Accelerometer,0.72300005,9.8539505,1.47405
1780861687366,Accelerometer,0.67200005,9.868051,1.416
1780861687386,Accelerometer,0.67995006,9.83895,1.3969501
1780861687387,Accelerometer,0.70095,9.83205,1.46895
1780861687387,Accelerometer,0.68895006,9.86295,1.61205
1780861687387,Accelerometer,0.615,9.89505,1.86405
1780861687405,Accelerometer,0.46905002,9.910951,2.1420002
1780861687406,Accelerometer,0.26805001,9.89505,2.352
1780861687406,Accelerometer,0.049950004,9.8869505,2.388
1780861687406,Accelerometer,-0.15495001,9.871051,2.19705
1780861687426,Accelerometer,-0.34695002,9.871051,1.8780001
1780861687426,Accelerometer,-0.54300004,9.868051,1.5670501
1780861687426,Accelerometer,-0.70605004,9.85095,1.3420501
1780861687426,Accelerometer,-0.79905003,9.83205,1.1380501
1780861687438,Accelerometer,-0.744,9.816001,0.906
1780861687449,Accelerometer,-0.52395004,9.772051,0.73905003
1780861687449,Accelerometer,-0.21195,9.748051,0.71205
1780861687449,Accelerometer,0.17205001,9.77505,0.71505004
1780861687465,Accelerometer,0.648,9.8560505,0.72705
1780861687466,Accelerometer,1.2060001,10.024051,0.65205
1780861687466,Accelerometer,1.7160001,10.207951,0.52305
1780861687466,Accelerometer,2.08305,10.34895,0.36495003
1780861687485,Accelerometer,2.2669501,10.440001,0.11100001
1780861687485,Accelerometer,2.2380002,10.43295,-0.08400001
1780861687485,Accelerometer,1.9939501,10.34895,-0.25395
1780861687486,Accelerometer,1.644,10.215,-0.36705002
1780861687505,Accelerometer,1.2040501,10.099951,-0.43095002
1780861687505,Accelerometer,0.73905003,9.98805,-0.441
1780861687505,Accelerometer,0.36105,9.8869505,-0.41205
1780861687505,Accelerometer,0.064050004,9.8539505,-0.32805002
1780861687525,Accelerometer,-0.13305001,9.81105,-0.25395
1780861687526,Accelerometer,-0.26505002,9.79605,-0.156
1780861687526,Accelerometer,-0.303,9.76305,-0.10605001
1780861687526,Accelerometer,-0.25605002,9.727051,-0.10095
1780861687546,Accelerometer,-0.14295001,9.732,-0.10095
1780861687546,Accelerometer,0.057000004,9.732,-0.08205
1780861687546,Accelerometer,0.261,9.75105,-0.04095
1780861687546,Accelerometer,0.47595003,9.79905,0.01995
1780861687566,Accelerometer,0.62205005,9.880051,0.12105001
