timestamp,time_sec,sensor,x,y,z
1780861704008,17.059,Accelerometer,-13.017,20.059952,6.9300003
1780861704928,17.979,Accelerometer,-6.0280504,17.01,-2.98305
1780861708192,21.243,Accelerometer,-12.23595,15.078001,1.47105
1780861709649,22.7,Accelerometer,-6.50895,15.133051,-4.1730003
1780861713036,26.087,Accelerometer,-5.808,3.2599502,-1.4250001
1780861713730,26.781,Accelerometer,-16.914001,15.892051,6.4870505
1780861714438,27.489,Accelerometer,-18.72195,-9.088051,-5.09805
1780861714809,27.86,Accelerometer,-14.905951,13.1310005,1.4089501
1780861715410,28.461,Accelerometer,-21.846,-5.5350003,-2.4520502
1780861715790,28.841,Accelerometer,-14.87205,14.134951,6.5179505
1780861716470,29.521,Accelerometer,-17.55405,3.0280502,0.96105003
1780861716915,29.966,Accelerometer,-21.348001,22.639051,10.33905
1780861718397,31.448,Accelerometer,-22.705952,20.257051,12.922951
1780861719130,32.181,Accelerometer,-4.8,16.167,-4.70505
1780861719691,32.742,Accelerometer,-35.683052,33.89595,23.737051
1780861720442,33.493,Accelerometer,-4.872,14.24505,-2.63595
1780861721012,34.063,Accelerometer,-30.865051,21.04005,15.798
1780861722411,35.462,Accelerometer,-60.517952,59.85705,29.574001
1780861723074,36.125,Accelerometer,-4.9099503,16.58595,-1.07805
1780861723631,36.682,Accelerometer,-33.079952,35.785053,26.875952
1780861724470,37.521,Accelerometer,-3.5160003,3.15,1.2940501
1780861724931,37.982,Accelerometer,-24.046951,20.139002,10.584001
1780861725691,38.742,Accelerometer,-4.4550004,16.882952,-3.6829503
1780861726239,39.29,Accelerometer,-51.388054,29.31405,19.914001
1780861726692,39.743,Accelerometer,-2.118,9.78705,-3.2899501
1780861726997,40.048,Accelerometer,-3.9880502,4.99095,0.48705003
1780861727312,40.363,Accelerometer,-20.54895,11.281051,10.854
1780861733533,46.584,Accelerometer,-26.070002,20.99595,13.243051
1780861734285,47.336,Accelerometer,-4.848,16.16295,0.52500004
1780861734837,47.888,Accelerometer,-35.61795,24.706951,24.846
1780861735593,48.644,Accelerometer,-6.0379505,15.528001,-5.26305
1780861736164,49.215,Accelerometer,-30.669,19.48995,8.500951
1780861736854,49.905,Accelerometer,-5.6280003,17.230051,-2.5240502
1780861737414,50.465,Accelerometer,-31.023,20.544,12.40305
1780861738204,51.255,Accelerometer,-5.7330003,16.411951,-3.7500002
1780861738758,51.809,Accelerometer,-30.892052,22.51395,12.666
1780861739417,52.468,Accelerometer,-3.9640503,14.470051,-2.5410001
1780861739994,53.045,Accelerometer,-38.023952,20.896051,11.65095
1780861740658,53.709,Accelerometer,-7.5100503,16.900051,-1.79805
1780861741174,54.225,Accelerometer,-35.197052,31.51905,28.71495
1780861741856,54.907,Accelerometer,-7.452,17.95095,-0.75195
1780861742414,55.465,Accelerometer,-23.841002,20.568,12.1039505
1780861743078,56.129,Accelerometer,-6.1260004,16.633951,-2.18895
1780861743614,56.665,Accelerometer,-24.163952,22.21005,15.559051
1780861744336,57.387,Accelerometer,-5.50605,16.809,-3.8910003
1780861744855,57.906,Accelerometer,-27.423002,22.423052,14.541
1780861745574,58.625,Accelerometer,-4.86705,15.574051,-3.7540503
1780861746095,59.146,Accelerometer,-20.095951,21.826952,13.071001
1780861746858,59.909,Accelerometer,-7.2630005,3.459,3.1300502
1780861747280,60.331,Accelerometer,-27.10695,21.145052,8.974951
1780861747935,60.986,Accelerometer,-5.7979503,15.981001,-4.2720003
1780861748535,61.586,Accelerometer,-30.64005,31.203001,13.878
1780861749395,62.446,Accelerometer,-5.07495,5.9659505,1.78005
1780861749855,62.906,Accelerometer,-35.97705,20.11095,12.121051
1780861750580,63.631,Accelerometer,-5.9440503,16.372952,-3.3229501
1780861751115,64.166,Accelerometer,-21.763052,23.352001,15.472051
1780861751820,64.871,Accelerometer,-6.46395,15.796051,-0.71895003
1780861752359,65.41,Accelerometer,-22.380001,30.046951,24.30195
1780861753575,66.626,Accelerometer,-25.216951,22.07595,13.138051
1780861754816,67.867,Accelerometer,-27.268951,22.830002,14.59605
1780861755497,68.548,Accelerometer,-6.591,16.53405,-2.9020503
1780861756056,69.107,Accelerometer,-21.633001,22.893002,12.913051
1780861756766,69.817,Accelerometer,-4.7590504,15.301051,-6.1750503
1780861757276,70.327,Accelerometer,-33.31695,34.51905,35.06895
1780861757963,71.014,Accelerometer,-7.3159504,17.404951,-2.09805
1780861758496,71.547,Accelerometer,-25.597952,27.81495,13.82505
1780861759176,72.227,Accelerometer,-6.6670504,16.924051,-2.4400501
1780861759716,72.767,Accelerometer,-28.299002,23.59905,14.505001
1780861760377,73.428,Accelerometer,-6.5860505,16.87605,-2.9479501
1780861760931,73.982,Accelerometer,-32.203953,30.742952,23.719952
1780861761596,74.647,Accelerometer,-5.5230002,15.65295,-1.0510501
1780861762144,75.195,Accelerometer,-20.29005,16.05705,4.3710003
1780861762837,75.888,Accelerometer,-6.3460503,14.676001,-3.2010002
1780861763412,76.463,Accelerometer,-23.616001,18.087002,18.16605
1780861764122,77.173,Accelerometer,-5.68095,14.953051,-1.57605
1780861764678,77.729,Accelerometer,-25.435051,19.663052,12.010051
1780861765518,78.569,Accelerometer,-4.91505,5.583,2.6590502
1780861765959,79.01,Accelerometer,-19.53405,18.973051,3.8410501
1780861766905,79.956,Accelerometer,-6.2719502,2.8650002,0.025050001
1780861767330,80.381,Accelerometer,-24.549002,25.917002,15.7240505
1780861768042,81.093,Accelerometer,-4.75395,15.262051,-4.6090503
1780861768558,81.609,Accelerometer,-19.977001,26.260952,25.578001
1780861769279,82.33,Accelerometer,-5.5350003,14.998951,-3.0499501
1780861769818,82.869,Accelerometer,-22.416,24.609001,15.274051
1780861770658,83.709,Accelerometer,-5.74305,3.9829502,0.48195
1780861771099,84.15,Accelerometer,-27.331951,21.660002,7.22205
1780861771938,84.989,Accelerometer,-6.6769505,7.0020003,0.84105
1780861772399,85.45,Accelerometer,-47.646004,21.98295,12.20205
1780861773099,86.15,Accelerometer,-8.34105,15.32505,-5.9329505
1780861773643,86.694,Accelerometer,-23.506052,19.18905,7.7850003
1780861774326,87.377,Accelerometer,-7.6200004,15.406051,-2.124
1780861774859,87.91,Accelerometer,-22.230001,15.3820505,8.814
1780861775579,88.63,Accelerometer,-5.0149503,16.78305,-3.08205
1780861776126,89.177,Accelerometer,-24.10905,24.423,15.405001
1780861776806,89.857,Accelerometer,-7.18695,16.752,-1.746
1780861777339,90.39,Accelerometer,-28.407001,23.986952,14.206051
1780861778119,91.17,Accelerometer,-7.0930505,3.72495,1.9069501
1780861778540,91.591,Accelerometer,-25.96005,30.183,26.242052
1780861779320,92.371,Accelerometer,-6.9979506,3.5790002,2.6200502
1780861779760,92.811,Accelerometer,-32.730003,18.162,9.01095
1780861780539,93.59,Accelerometer,-13.207951,4.09095,3.7500002
1780861780960,94.011,Accelerometer,-25.351952,32.62995,22.435051
1780861781769,94.82,Accelerometer,-6.12405,3.4090502,0.89205
1780861782200,95.251,Accelerometer,-32.307003,22.378052,8.67105
1780861782880,95.931,Accelerometer,-6.6529503,16.75395,-1.7670001
1780861783409,96.46,Accelerometer,-32.45505,22.584002,13.29405
1780861784226,97.277,Accelerometer,-6.6600003,3.5449502,3.08205
1780861784648,97.699,Accelerometer,-29.154001,20.92905,9.24495
1780861785467,98.518,Accelerometer,-10.783051,4.821,2.733
1780861785893,98.944,Accelerometer,-33.286053,19.071001,13.62705
1780861786706,99.757,Accelerometer,-5.4370503,3.7729502,1.1340001
