timestamp,time_sec,sensor,x,y,z,time_to_prev_strike_sec
1780861686267,0.0,Accelerometer,-3.8220003,3.3430502,2.874,
1780861705133,18.866,Accelerometer,-10.722,0.03195,-2.7900002,18.866
1780861706260,19.993,Accelerometer,-14.377951,6.6139503,0.16095,1.126999999999999
1780861708192,21.925,Accelerometer,-12.23595,15.078001,1.47105,1.9320000000000022
1780861714438,28.171,Accelerometer,-18.72195,-9.088051,-5.09805,6.245999999999999
1780861715044,28.777,Accelerometer,-9.228001,-4.6000504,-0.73605,0.6060000000000016
1780861715410,29.143,Accelerometer,-21.846,-5.5350003,-2.4520502,0.36599999999999966
1780861716268,30.001,Accelerometer,-11.91405,7.7539506,-0.99000007,0.8580000000000005
1780861716470,30.203,Accelerometer,-17.55405,3.0280502,0.96105003,0.20199999999999818
1780861717628,31.361,Accelerometer,-20.764051,11.74695,0.71595,1.1580000000000013
1780861718397,32.13,Accelerometer,-22.705952,20.257051,12.922951,0.7690000000000019
1780861719691,33.424,Accelerometer,-35.683052,33.89595,23.737051,1.293999999999997
1780861720407,34.14,Accelerometer,-19.060951,4.50495,-5.1990004,0.7160000000000011
1780861721012,34.745,Accelerometer,-30.865051,21.04005,15.798,0.6049999999999969
1780861721728,35.461,Accelerometer,-21.553951,4.215,-11.53905,0.7160000000000011
1780861722411,36.144,Accelerometer,-60.517952,59.85705,29.574001,0.6829999999999998
1780861722841,36.574,Accelerometer,-11.245951,13.64595,-2.187,0.4299999999999997
1780861723631,37.364,Accelerometer,-33.079952,35.785053,26.875952,0.7899999999999991
1780861724371,38.104,Accelerometer,-19.48995,3.5299501,-6.669,0.740000000000002
1780861724931,38.664,Accelerometer,-24.046951,20.139002,10.584001,0.5600000000000023
1780861725463,39.196,Accelerometer,-22.25505,10.395,-3.4030502,0.5319999999999965
1780861726239,39.972,Accelerometer,-51.388054,29.31405,19.914001,0.7760000000000034
1780861726994,40.727,Accelerometer,-19.308,1.5790501,10.392,0.7549999999999955
1780861728104,41.837,Accelerometer,-17.433,17.19,-2.5080001,1.1100000000000065
1780861733533,47.266,Accelerometer,-26.070002,20.99595,13.243051,5.428999999999995
1780861734048,47.781,Accelerometer,-5.8039503,12.207001,-11.700001,0.5150000000000006
1780861734837,48.57,Accelerometer,-35.61795,24.706951,24.846,0.7890000000000015
1780861735471,49.204,Accelerometer,-15.235051,20.54895,-7.4419503,0.6340000000000003
1780861736164,49.897,Accelerometer,-30.669,19.48995,8.500951,0.6929999999999978
1780861736671,50.404,Accelerometer,-10.450951,12.0390005,-1.42305,0.507000000000005
1780861737414,51.147,Accelerometer,-31.023,20.544,12.40305,0.742999999999995
1780861737977,51.71,Accelerometer,-15.156001,12.910951,-0.65205,0.5630000000000024
1780861738758,52.491,Accelerometer,-30.892052,22.51395,12.666,0.7809999999999988
1780861739274,53.007,Accelerometer,-10.521001,11.005051,-0.609,0.5159999999999982
1780861739994,53.727,Accelerometer,-38.023952,20.896051,11.65095,0.7199999999999989
1780861740576,54.309,Accelerometer,-21.195002,12.328951,3.9529502,0.5820000000000007
1780861741174,54.907,Accelerometer,-35.197052,31.51905,28.71495,0.597999999999999
1780861741780,55.513,Accelerometer,-28.095001,13.371,2.22495,0.6060000000000016
1780861742414,56.147,Accelerometer,-23.841002,20.568,12.1039505,0.6340000000000003
1780861743063,56.796,Accelerometer,-11.280001,10.79205,-8.25405,0.6490000000000009
1780861743614,57.347,Accelerometer,-24.163952,22.21005,15.559051,0.5510000000000019
1780861744210,57.943,Accelerometer,-27.427052,11.472,0.34305,0.5959999999999965
1780861744855,58.588,Accelerometer,-27.423002,22.423052,14.541,0.6450000000000031
1780861745434,59.167,Accelerometer,-20.503052,11.64,-0.64500004,0.5790000000000006
1780861746095,59.828,Accelerometer,-20.095951,21.826952,13.071001,0.6610000000000014
1780861746677,60.41,Accelerometer,-18.778952,12.319951,-0.19005,0.5819999999999936
1780861747280,61.013,Accelerometer,-27.10695,21.145052,8.974951,0.6030000000000015
1780861747887,61.62,Accelerometer,-20.164951,11.710951,-0.813,0.6069999999999993
1780861748535,62.268,Accelerometer,-30.64005,31.203001,13.878,0.6480000000000032
1780861749066,62.799,Accelerometer,-21.06105,10.998,-1.7869501,0.5309999999999988
1780861749855,63.588,Accelerometer,-35.97705,20.11095,12.121051,0.7890000000000015
1780861751115,64.848,Accelerometer,-21.763052,23.352001,15.472051,1.259999999999998
1780861751674,65.407,Accelerometer,-13.966051,11.78295,0.80505,0.5589999999999975
1780861752359,66.092,Accelerometer,-22.380001,30.046951,24.30195,0.6850000000000023
1780861752934,66.667,Accelerometer,-17.959951,12.7890005,0.36900002,0.5750000000000028
1780861753575,67.308,Accelerometer,-25.216951,22.07595,13.138051,0.6410000000000053
1780861754139,67.872,Accelerometer,-18.56595,10.738951,-0.46995002,0.563999999999993
1780861754816,68.549,Accelerometer,-27.268951,22.830002,14.59605,0.6770000000000067
1780861755383,69.116,Accelerometer,-17.080952,12.736051,-0.47700003,0.5669999999999931
1780861756056,69.789,Accelerometer,-21.633001,22.893002,12.913051,0.6730000000000018
1780861756626,70.359,Accelerometer,-16.12605,13.52595,0.66405004,0.5699999999999932
1780861757276,71.009,Accelerometer,-33.31695,34.51905,35.06895,0.6500000000000057
1780861757850,71.583,Accelerometer,-16.060951,13.62705,-1.5000001,0.5739999999999981
1780861758496,72.229,Accelerometer,-25.597952,27.81495,13.82505,0.6460000000000008
1780861759094,72.827,Accelerometer,-16.428001,12.73095,0.86700004,0.597999999999999
1780861759716,73.449,Accelerometer,-28.299002,23.59905,14.505001,0.6219999999999999
1780861760304,74.037,Accelerometer,-25.389002,11.94795,1.5660001,0.5880000000000081
1780861760931,74.664,Accelerometer,-32.203953,30.742952,23.719952,0.6269999999999953
1780861761523,75.256,Accelerometer,-20.66295,13.17405,1.63995,0.5919999999999987
1780861762144,75.877,Accelerometer,-20.29005,16.05705,4.3710003,0.6209999999999951
1780861762712,76.445,Accelerometer,-21.69705,12.741,0.41895002,0.5679999999999978
1780861763412,77.145,Accelerometer,-23.616001,18.087002,18.16605,0.7000000000000028
1780861763955,77.688,Accelerometer,-18.685051,12.588,-1.1410501,0.5430000000000064
1780861764678,78.411,Accelerometer,-25.435051,19.663052,12.010051,0.722999999999999
1780861765409,79.142,Accelerometer,-14.72805,4.9120502,-1.1839501,0.7309999999999945
1780861765959,79.692,Accelerometer,-19.53405,18.973051,3.8410501,0.5499999999999972
1780861766700,80.433,Accelerometer,-13.144951,8.68305,-3.6360002,0.7410000000000139
1780861767330,81.063,Accelerometer,-24.549002,25.917002,15.7240505,0.6299999999999955
1780861768558,82.291,Accelerometer,-19.977001,26.260952,25.578001,1.2279999999999944
1780861768790,82.523,Accelerometer,-15.808051,5.589,5.3490005,0.23199999999999932
1780861769818,83.551,Accelerometer,-22.416,24.609001,15.274051,1.0280000000000058
1780861770584,84.317,Accelerometer,-14.191051,11.307,-6.4180503,0.7659999999999911
1780861771099,84.832,Accelerometer,-27.331951,21.660002,7.22205,0.5150000000000006
1780861772399,86.132,Accelerometer,-47.646004,21.98295,12.20205,1.3000000000000114
1780861772560,86.293,Accelerometer,-16.660051,7.9789505,0.393,0.16100000000000136
1780861773643,87.376,Accelerometer,-23.506052,19.18905,7.7850003,1.0829999999999984
1780861774216,87.949,Accelerometer,-23.625002,12.649951,-1.8420001,0.5729999999999933
1780861774859,88.592,Accelerometer,-22.230001,15.3820505,8.814,0.6430000000000007
1780861775431,89.164,Accelerometer,-15.838951,13.34895,-0.61605,0.5720000000000027
1780861776126,89.859,Accelerometer,-24.10905,24.423,15.405001,0.6949999999999932
1780861776680,90.413,Accelerometer,-14.62695,12.607051,-2.5080001,0.554000000000002
1780861777339,91.072,Accelerometer,-28.407001,23.986952,14.206051,0.659000000000006
1780861778119,91.852,Accelerometer,-10.99995,13.990951,-6.49905,0.7800000000000011
1780861778540,92.273,Accelerometer,-25.96005,30.183,26.242052,0.42099999999999227
1780861779130,92.863,Accelerometer,-15.937051,13.45905,-2.0959501,0.5900000000000034
1780861779760,93.493,Accelerometer,-32.730003,18.162,9.01095,0.6299999999999955
1780861780333,94.066,Accelerometer,-20.424002,11.512951,-1.131,0.5730000000000075
1780861780960,94.693,Accelerometer,-25.351952,32.62995,22.435051,0.6269999999999953
1780861781556,95.289,Accelerometer,-16.300951,13.414051,-2.6160002,0.5960000000000036
1780861782200,95.933,Accelerometer,-32.307003,22.378052,8.67105,0.6440000000000055
1780861782782,96.515,Accelerometer,-14.77305,11.857051,0.52995,0.5819999999999936
1780861783409,97.142,Accelerometer,-32.45505,22.584002,13.29405,0.6269999999999953
1780861783991,97.724,Accelerometer,-16.75605,13.111951,-1.572,0.5820000000000078
1780861784648,98.381,Accelerometer,-29.154001,20.92905,9.24495,0.6569999999999965
1780861785229,98.962,Accelerometer,-19.792051,11.995951,0.31395,0.5810000000000031
1780861785893,99.626,Accelerometer,-33.286053,19.071001,13.62705,0.6640000000000015
1780861786472,100.205,Accelerometer,-15.457951,12.082951,-0.022950001,0.5789999999999935
1780861787141,100.874,Accelerometer,-23.893051,16.842001,9.183001,0.6689999999999969
1780861787692,101.425,Accelerometer,-14.45505,12.549001,0.16800001,0.5510000000000019
1780861788421,102.154,Accelerometer,-24.05895,19.324951,9.942,0.7289999999999992
1780861788960,102.693,Accelerometer,-15.03705,12.472951,-0.85800004,0.5390000000000015
1780861789681,103.414,Accelerometer,-22.134,18.624,8.41695,0.7210000000000036
1780861790921,104.654,Accelerometer,-18.139952,18.82995,8.938951,1.2399999999999949
