step_number,timestamp_ms,timestamp_utc,delta_ms,speed_spm,accel_magnitude
60,1778964641598,2026-05-16T20:50:41.598000+00:00,820,73.17073170731707,20.457716844563084
61,1778964641934,2026-05-16T20:50:41.934000+00:00,336,178.57142857142858,23.428439549133248
62,1778964642729,2026-05-16T20:50:42.729000+00:00,795,75.47169811320755,22.05143172124527
63,1778964643177,2026-05-16T20:50:43.177000+00:00,448,133.92857142857142,24.848921650305087
64,1778964644257,2026-05-16T20:50:44.257000+00:00,1080,55.55555555555556,25.016695083791745
65,1778964644491,2026-05-16T20:50:44.491000+00:00,234,256.4102564102564,17.283626040746228
66,1778964645485,2026-05-16T20:50:45.485000+00:00,994,60.36217303822938,23.06090048161437
67,1778964646631,2026-05-16T20:50:46.631000+00:00,1146,52.35602094240838,21.003604999321055
68,1778964647860,2026-05-16T20:50:47.860000+00:00,1229,48.82017900732303,22.111813453615692
69,1778964648984,2026-05-16T20:50:48.984000+00:00,1124,53.380782918149464,20.511922902663073
70,1778964650181,2026-05-16T20:50:50.181000+00:00,1197,50.12531328320802,23.2615019326761
71,1778964651371,2026-05-16T20:50:51.371000+00:00,1190,50.42016806722689,22.45298276542075
72,1778964652638,2026-05-16T20:50:52.638000+00:00,1267,47.355958958168905,26.261025738439866
73,1778964653722,2026-05-16T20:50:53.722000+00:00,1084,55.35055350553505,23.82507871769766
74,1778964653938,2026-05-16T20:50:53.938000+00:00,216,277.77777777777777,15.271275591014033
75,1778964654907,2026-05-16T20:50:54.907000+00:00,969,61.919504643962846,24.586140295264553
76,1778964655723,2026-05-16T20:50:55.723000+00:00,816,73.52941176470588,21.96027212945468
77,1778964656092,2026-05-16T20:50:56.092000+00:00,369,162.60162601626016,22.56770736695755
78,1778964657277,2026-05-16T20:50:57.277000+00:00,1185,50.63291139240506,25.399497751497076
79,1778964658404,2026-05-16T20:50:58.404000+00:00,1127,53.23868677905945,21.424889249120987
80,1778964658637,2026-05-16T20:50:58.637000+00:00,233,257.51072961373393,15.409258327304725
81,1778964659220,2026-05-16T20:50:59.220000+00:00,583,102.91595197255575,19.666343136430324
82,1778964659584,2026-05-16T20:50:59.584000+00:00,364,164.83516483516485,21.040554559956373
83,1778964660358,2026-05-16T20:51:00.358000+00:00,774,77.51937984496124,24.23184534012633
84,1778964660716,2026-05-16T20:51:00.716000+00:00,358,167.5977653631285,24.544433311789906
85,1778964661493,2026-05-16T20:51:01.493000+00:00,777,77.22007722007721,21.932124502289124
86,1778964661884,2026-05-16T20:51:01.884000+00:00,391,153.4526854219949,22.13098179081536
87,1778964662639,2026-05-16T20:51:02.639000+00:00,755,79.47019867549669,22.6506520824532
88,1778964662989,2026-05-16T20:51:02.989000+00:00,350,171.42857142857142,21.221124694629168
89,1778964663246,2026-05-16T20:51:03.246000+00:00,257,233.46303501945525,29.38481541239638
90,1778964664232,2026-05-16T20:51:04.232000+00:00,986,60.851926977687626,29.016323860765514
91,1778964664927,2026-05-16T20:51:04.927000+00:00,695,86.33093525179856,22.598267697401077
92,1778964665302,2026-05-16T20:51:05.302000+00:00,375,160.0,25.181947755674326
93,1778964666447,2026-05-16T20:51:06.447000+00:00,1145,52.40174672489083,23.74533661283969
94,1778964667632,2026-05-16T20:51:07.632000+00:00,1185,50.63291139240506,24.462824531406877
95,1778964668798,2026-05-16T20:51:08.798000+00:00,1166,51.45797598627787,24.05494131074799
96,1778964669944,2026-05-16T20:51:09.944000+00:00,1146,52.35602094240838,22.504584936481766
97,1778964670153,2026-05-16T20:51:10.153000+00:00,209,287.08133971291863,31.006135049886563
98,1778964670838,2026-05-16T20:51:10.838000+00:00,685,87.5912408759124,28.4228819251258
99,1778964672460,2026-05-16T20:51:12.460000+00:00,1622,36.99136868064118,22.09581286214884
100,1778964673597,2026-05-16T20:51:13.597000+00:00,1137,52.770448548812666,22.248326872531358
101,1778964674738,2026-05-16T20:51:14.738000+00:00,1141,52.58545135845749,24.259996514708142
102,1778964674957,2026-05-16T20:51:14.957000+00:00,219,273.972602739726,14.813855048707817
103,1778964676006,2026-05-16T20:51:16.006000+00:00,1049,57.197330791229746,27.462898203314783
104,1778964677108,2026-05-16T20:51:17.108000+00:00,1102,54.4464609800363,23.123968935499377
105,1778964678300,2026-05-16T20:51:18.300000+00:00,1192,50.33557046979866,25.19325715966677
106,1778964679464,2026-05-16T20:51:19.464000+00:00,1164,51.54639175257732,22.795690383399318
107,1778964679680,2026-05-16T20:51:19.680000+00:00,216,277.77777777777777,29.8175626122517
108,1778964680644,2026-05-16T20:51:20.644000+00:00,964,62.24066390041494,21.833705964652474
109,1778964681854,2026-05-16T20:51:21.854000+00:00,1210,49.586776859504134,21.490062371931405
110,1778964683039,2026-05-16T20:51:23.039000+00:00,1185,50.63291139240506,24.017751020911597
111,1778964684209,2026-05-16T20:51:24.209000+00:00,1170,51.282051282051285,25.991042539899798
112,1778964685492,2026-05-16T20:51:25.492000+00:00,1283,46.76539360872954,24.900609424939883
113,1778964686239,2026-05-16T20:51:26.239000+00:00,747,80.32128514056225,22.856036167208387
114,1778964686550,2026-05-16T20:51:26.550000+00:00,311,192.92604501607718,24.182966571438296
115,1778964687366,2026-05-16T20:51:27.366000+00:00,816,73.52941176470588,22.730785745591902
116,1778964687761,2026-05-16T20:51:27.761000+00:00,395,151.8987341772152,23.4111400871955
117,1778964688925,2026-05-16T20:51:28.925000+00:00,1164,51.54639175257732,23.026611738358316
118,1778964690091,2026-05-16T20:51:30.091000+00:00,1166,51.45797598627787,22.15256802132191
119,1778964690304,2026-05-16T20:51:30.304000+00:00,213,281.6901408450704,26.367227520977632
120,1778964691297,2026-05-16T20:51:31.297000+00:00,993,60.42296072507553,21.807845829846222
121,1778964691512,2026-05-16T20:51:31.512000+00:00,215,279.06976744186045,20.315264831109143
122,1778964692481,2026-05-16T20:51:32.481000+00:00,969,61.919504643962846,17.60169142518696
123,1778964693902,2026-05-16T20:51:33.902000+00:00,1421,42.223786066150595,37.55117442580326
124,1778964694831,2026-05-16T20:51:34.831000+00:00,929,64.58557588805166,22.87152871387483
125,1778964695064,2026-05-16T20:51:35.064000+00:00,233,257.51072961373393,19.5810832045215
126,1778964696055,2026-05-16T20:51:36.055000+00:00,991,60.544904137235115,25.202881417477922
127,1778964696873,2026-05-16T20:51:36.873000+00:00,818,73.34963325183374,21.679392328903045
128,1778964697221,2026-05-16T20:51:37.221000+00:00,348,172.41379310344828,22.89551268608764
129,1778964698037,2026-05-16T20:51:38.037000+00:00,816,73.52941176470588,23.720291321018824
130,1778964698440,2026-05-16T20:51:38.440000+00:00,403,148.8833746898263,27.946624133131074
131,1778964699263,2026-05-16T20:51:39.263000+00:00,823,72.90400972053463,19.588890277793695
132,1778964699683,2026-05-16T20:51:39.683000+00:00,420,142.85714285714286,27.535419612612483
133,1778964700428,2026-05-16T20:51:40.428000+00:00,745,80.53691275167785,21.28040440193515
134,1778964700849,2026-05-16T20:51:40.849000+00:00,421,142.51781472684087,27.023519848040785
135,1778964701981,2026-05-16T20:51:41.981000+00:00,1132,53.003533568904594,28.16669138026891
