Detected steps (merged): 179
Detected in sensor_data_20260516_225339.csv: 179
timestamp_ms,timestamp_utc,sources
1778964584981,2026-05-16T20:49:44.981000+00:00,sensor_data_20260516_225339.csv
1778964590215,2026-05-16T20:49:50.215000+00:00,sensor_data_20260516_225339.csv
1778964592717,2026-05-16T20:49:52.717000+00:00,sensor_data_20260516_225339.csv
1778964596758,2026-05-16T20:49:56.758000+00:00,sensor_data_20260516_225339.csv
1778964598113,2026-05-16T20:49:58.113000+00:00,sensor_data_20260516_225339.csv
1778964599376,2026-05-16T20:49:59.376000+00:00,sensor_data_20260516_225339.csv
1778964600488,2026-05-16T20:50:00.488000+00:00,sensor_data_20260516_225339.csv
1778964601765,2026-05-16T20:50:01.765000+00:00,sensor_data_20260516_225339.csv
1778964602956,2026-05-16T20:50:02.956000+00:00,sensor_data_20260516_225339.csv
1778964604356,2026-05-16T20:50:04.356000+00:00,sensor_data_20260516_225339.csv
1778964605462,2026-05-16T20:50:05.462000+00:00,sensor_data_20260516_225339.csv
1778964606647,2026-05-16T20:50:06.647000+00:00,sensor_data_20260516_225339.csv
1778964607890,2026-05-16T20:50:07.890000+00:00,sensor_data_20260516_225339.csv
1778964609095,2026-05-16T20:50:09.095000+00:00,sensor_data_20260516_225339.csv
1778964610299,2026-05-16T20:50:10.299000+00:00,sensor_data_20260516_225339.csv
1778964611480,2026-05-16T20:50:11.480000+00:00,sensor_data_20260516_225339.csv
1778964612653,2026-05-16T20:50:12.653000+00:00,sensor_data_20260516_225339.csv
1778964613813,2026-05-16T20:50:13.813000+00:00,sensor_data_20260516_225339.csv
1778964614977,2026-05-16T20:50:14.977000+00:00,sensor_data_20260516_225339.csv
1778964616167,2026-05-16T20:50:16.167000+00:00,sensor_data_20260516_225339.csv
1778964617507,2026-05-16T20:50:17.507000+00:00,sensor_data_20260516_225339.csv
1778964618552,2026-05-16T20:50:18.552000+00:00,sensor_data_20260516_225339.csv
1778964619725,2026-05-16T20:50:19.725000+00:00,sensor_data_20260516_225339.csv
1778964620907,2026-05-16T20:50:20.907000+00:00,sensor_data_20260516_225339.csv
1778964622035,2026-05-16T20:50:22.035000+00:00,sensor_data_20260516_225339.csv
1778964623174,2026-05-16T20:50:23.174000+00:00,sensor_data_20260516_225339.csv
1778964624376,2026-05-16T20:50:24.376000+00:00,sensor_data_20260516_225339.csv
1778964625493,2026-05-16T20:50:25.493000+00:00,sensor_data_20260516_225339.csv
1778964626680,2026-05-16T20:50:26.680000+00:00,sensor_data_20260516_225339.csv
1778964627828,2026-05-16T20:50:27.828000+00:00,sensor_data_20260516_225339.csv
1778964629009,2026-05-16T20:50:29.009000+00:00,sensor_data_20260516_225339.csv
1778964630175,2026-05-16T20:50:30.175000+00:00,sensor_data_20260516_225339.csv
1778964631359,2026-05-16T20:50:31.359000+00:00,sensor_data_20260516_225339.csv
1778964632525,2026-05-16T20:50:32.525000+00:00,sensor_data_20260516_225339.csv
1778964633730,2026-05-16T20:50:33.730000+00:00,sensor_data_20260516_225339.csv
1778964634838,2026-05-16T20:50:34.838000+00:00,sensor_data_20260516_225339.csv
1778964636023,2026-05-16T20:50:36.023000+00:00,sensor_data_20260516_225339.csv
1778964638432,2026-05-16T20:50:38.432000+00:00,sensor_data_20260516_225339.csv
1778964639763,2026-05-16T20:50:39.763000+00:00,sensor_data_20260516_225339.csv
1778964640802,2026-05-16T20:50:40.802000+00:00,sensor_data_20260516_225339.csv
1778964641968,2026-05-16T20:50:41.968000+00:00,sensor_data_20260516_225339.csv
1778964643177,2026-05-16T20:50:43.177000+00:00,sensor_data_20260516_225339.csv
1778964644299,2026-05-16T20:50:44.299000+00:00,sensor_data_20260516_225339.csv
1778964645485,2026-05-16T20:50:45.485000+00:00,sensor_data_20260516_225339.csv
1778964646669,2026-05-16T20:50:46.669000+00:00,sensor_data_20260516_225339.csv
1778964647835,2026-05-16T20:50:47.835000+00:00,sensor_data_20260516_225339.csv
1778964649078,2026-05-16T20:50:49.078000+00:00,sensor_data_20260516_225339.csv
1778964650205,2026-05-16T20:50:50.205000+00:00,sensor_data_20260516_225339.csv
1778964651448,2026-05-16T20:50:51.448000+00:00,sensor_data_20260516_225339.csv
1778964652587,2026-05-16T20:50:52.587000+00:00,sensor_data_20260516_225339.csv
1778964653756,2026-05-16T20:50:53.756000+00:00,sensor_data_20260516_225339.csv
1778964654952,2026-05-16T20:50:54.952000+00:00,sensor_data_20260516_225339.csv
1778964656289,2026-05-16T20:50:56.289000+00:00,sensor_data_20260516_225339.csv
1778964657297,2026-05-16T20:50:57.297000+00:00,sensor_data_20260516_225339.csv
1778964658435,2026-05-16T20:50:58.435000+00:00,sensor_data_20260516_225339.csv
1778964659645,2026-05-16T20:50:59.645000+00:00,sensor_data_20260516_225339.csv
1778964660405,2026-05-16T20:51:00.405000+00:00,sensor_data_20260516_225339.csv
1778964660738,2026-05-16T20:51:00.738000+00:00,sensor_data_20260516_225339.csv
1778964661534,2026-05-16T20:51:01.534000+00:00,sensor_data_20260516_225339.csv
1778964661916,2026-05-16T20:51:01.916000+00:00,sensor_data_20260516_225339.csv
1778964662680,2026-05-16T20:51:02.680000+00:00,sensor_data_20260516_225339.csv
1778964663028,2026-05-16T20:51:03.028000+00:00,sensor_data_20260516_225339.csv
1778964664232,2026-05-16T20:51:04.232000+00:00,sensor_data_20260516_225339.csv
1778964665359,2026-05-16T20:51:05.359000+00:00,sensor_data_20260516_225339.csv
1778964666468,2026-05-16T20:51:06.468000+00:00,sensor_data_20260516_225339.csv
1778964667712,2026-05-16T20:51:07.712000+00:00,sensor_data_20260516_225339.csv
1778964668895,2026-05-16T20:51:08.895000+00:00,sensor_data_20260516_225339.csv
1778964669983,2026-05-16T20:51:09.983000+00:00,sensor_data_20260516_225339.csv
1778964672639,2026-05-16T20:51:12.639000+00:00,sensor_data_20260516_225339.csv
1778964673655,2026-05-16T20:51:13.655000+00:00,sensor_data_20260516_225339.csv
1778964674783,2026-05-16T20:51:14.783000+00:00,sensor_data_20260516_225339.csv
1778964676025,2026-05-16T20:51:16.025000+00:00,sensor_data_20260516_225339.csv
1778964677155,2026-05-16T20:51:17.155000+00:00,sensor_data_20260516_225339.csv
1778964678376,2026-05-16T20:51:18.376000+00:00,sensor_data_20260516_225339.csv
1778964679542,2026-05-16T20:51:19.542000+00:00,sensor_data_20260516_225339.csv
1778964680689,2026-05-16T20:51:20.689000+00:00,sensor_data_20260516_225339.csv
1778964681854,2026-05-16T20:51:21.854000+00:00,sensor_data_20260516_225339.csv
1778964683099,2026-05-16T20:51:23.099000+00:00,sensor_data_20260516_225339.csv
1778964684226,2026-05-16T20:51:24.226000+00:00,sensor_data_20260516_225339.csv
1778964685492,2026-05-16T20:51:25.492000+00:00,sensor_data_20260516_225339.csv
1778964686594,2026-05-16T20:51:26.594000+00:00,sensor_data_20260516_225339.csv
1778964687818,2026-05-16T20:51:27.818000+00:00,sensor_data_20260516_225339.csv
1778964688925,2026-05-16T20:51:28.925000+00:00,sensor_data_20260516_225339.csv
1778964690125,2026-05-16T20:51:30.125000+00:00,sensor_data_20260516_225339.csv
1778964691333,2026-05-16T20:51:31.333000+00:00,sensor_data_20260516_225339.csv
1778964692674,2026-05-16T20:51:32.674000+00:00,sensor_data_20260516_225339.csv
1778964693935,2026-05-16T20:51:33.935000+00:00,sensor_data_20260516_225339.csv
1778964694866,2026-05-16T20:51:34.866000+00:00,sensor_data_20260516_225339.csv
1778964696109,2026-05-16T20:51:36.109000+00:00,sensor_data_20260516_225339.csv
1778964697260,2026-05-16T20:51:37.260000+00:00,sensor_data_20260516_225339.csv
1778964698095,2026-05-16T20:51:38.095000+00:00,sensor_data_20260516_225339.csv
1778964698484,2026-05-16T20:51:38.484000+00:00,sensor_data_20260516_225339.csv
1778964699708,2026-05-16T20:51:39.708000+00:00,sensor_data_20260516_225339.csv
1778964700873,2026-05-16T20:51:40.873000+00:00,sensor_data_20260516_225339.csv
1778964701981,2026-05-16T20:51:41.981000+00:00,sensor_data_20260516_225339.csv
1778964703166,2026-05-16T20:51:43.166000+00:00,sensor_data_20260516_225339.csv
1778964704293,2026-05-16T20:51:44.293000+00:00,sensor_data_20260516_225339.csv
1778964705512,2026-05-16T20:51:45.512000+00:00,sensor_data_20260516_225339.csv
1778964706668,2026-05-16T20:51:46.668000+00:00,sensor_data_20260516_225339.csv
1778964707848,2026-05-16T20:51:47.848000+00:00,sensor_data_20260516_225339.csv
1778964708994,2026-05-16T20:51:48.994000+00:00,sensor_data_20260516_225339.csv
1778964710121,2026-05-16T20:51:50.121000+00:00,sensor_data_20260516_225339.csv
1778964711286,2026-05-16T20:51:51.286000+00:00,sensor_data_20260516_225339.csv
1778964712472,2026-05-16T20:51:52.472000+00:00,sensor_data_20260516_225339.csv
1778964713572,2026-05-16T20:51:53.572000+00:00,sensor_data_20260516_225339.csv
1778964714803,2026-05-16T20:51:54.803000+00:00,sensor_data_20260516_225339.csv
1778964715969,2026-05-16T20:51:55.969000+00:00,sensor_data_20260516_225339.csv
1778964717115,2026-05-16T20:51:57.115000+00:00,sensor_data_20260516_225339.csv
1778964717891,2026-05-16T20:51:57.891000+00:00,sensor_data_20260516_225339.csv
1778964718242,2026-05-16T20:51:58.242000+00:00,sensor_data_20260516_225339.csv
1778964719408,2026-05-16T20:51:59.408000+00:00,sensor_data_20260516_225339.csv
1778964720544,2026-05-16T20:52:00.544000+00:00,sensor_data_20260516_225339.csv
1778964721739,2026-05-16T20:52:01.739000+00:00,sensor_data_20260516_225339.csv
1778964722885,2026-05-16T20:52:02.885000+00:00,sensor_data_20260516_225339.csv
1778964724051,2026-05-16T20:52:04.051000+00:00,sensor_data_20260516_225339.csv
1778964725175,2026-05-16T20:52:05.175000+00:00,sensor_data_20260516_225339.csv
1778964726394,2026-05-16T20:52:06.394000+00:00,sensor_data_20260516_225339.csv
1778964727567,2026-05-16T20:52:07.567000+00:00,sensor_data_20260516_225339.csv
1778964728679,2026-05-16T20:52:08.679000+00:00,sensor_data_20260516_225339.csv
1778964729524,2026-05-16T20:52:09.524000+00:00,sensor_data_20260516_225339.csv
1778964729913,2026-05-16T20:52:09.913000+00:00,sensor_data_20260516_225339.csv
1778964731025,2026-05-16T20:52:11.025000+00:00,sensor_data_20260516_225339.csv
1778964732213,2026-05-16T20:52:12.213000+00:00,sensor_data_20260516_225339.csv
1778964733396,2026-05-16T20:52:13.396000+00:00,sensor_data_20260516_225339.csv
1778964734505,2026-05-16T20:52:14.505000+00:00,sensor_data_20260516_225339.csv
1778964735666,2026-05-16T20:52:15.666000+00:00,sensor_data_20260516_225339.csv
1778964736912,2026-05-16T20:52:16.912000+00:00,sensor_data_20260516_225339.csv
1778964738073,2026-05-16T20:52:18.073000+00:00,sensor_data_20260516_225339.csv
1778964739263,2026-05-16T20:52:19.263000+00:00,sensor_data_20260516_225339.csv
1778964740622,2026-05-16T20:52:20.622000+00:00,sensor_data_20260516_225339.csv
1778964742968,2026-05-16T20:52:22.968000+00:00,sensor_data_20260516_225339.csv
1778964748004,2026-05-16T20:52:28.004000+00:00,sensor_data_20260516_225339.csv
1778964750530,2026-05-16T20:52:30.530000+00:00,sensor_data_20260516_225339.csv
1778964751773,2026-05-16T20:52:31.773000+00:00,sensor_data_20260516_225339.csv
1778964754300,2026-05-16T20:52:34.300000+00:00,sensor_data_20260516_225339.csv
1778964755702,2026-05-16T20:52:35.702000+00:00,sensor_data_20260516_225339.csv
1778964757952,2026-05-16T20:52:37.952000+00:00,sensor_data_20260516_225339.csv
1778964759353,2026-05-16T20:52:39.353000+00:00,sensor_data_20260516_225339.csv
1778964760453,2026-05-16T20:52:40.453000+00:00,sensor_data_20260516_225339.csv
1778964761660,2026-05-16T20:52:41.660000+00:00,sensor_data_20260516_225339.csv
1778964762925,2026-05-16T20:52:42.925000+00:00,sensor_data_20260516_225339.csv
1778964764129,2026-05-16T20:52:44.129000+00:00,sensor_data_20260516_225339.csv
1778964765348,2026-05-16T20:52:45.348000+00:00,sensor_data_20260516_225339.csv
1778964766655,2026-05-16T20:52:46.655000+00:00,sensor_data_20260516_225339.csv
1778964767885,2026-05-16T20:52:47.885000+00:00,sensor_data_20260516_225339.csv
1778964769103,2026-05-16T20:52:49.103000+00:00,sensor_data_20260516_225339.csv
1778964770365,2026-05-16T20:52:50.365000+00:00,sensor_data_20260516_225339.csv
1778964772872,2026-05-16T20:52:52.872000+00:00,sensor_data_20260516_225339.csv
1778964774251,2026-05-16T20:52:54.251000+00:00,sensor_data_20260516_225339.csv
1778964775339,2026-05-16T20:52:55.339000+00:00,sensor_data_20260516_225339.csv
1778964776539,2026-05-16T20:52:56.539000+00:00,sensor_data_20260516_225339.csv
1778964778059,2026-05-16T20:52:58.059000+00:00,sensor_data_20260516_225339.csv
1778964778714,2026-05-16T20:52:58.714000+00:00,sensor_data_20260516_225339.csv
1778964779105,2026-05-16T20:52:59.105000+00:00,sensor_data_20260516_225339.csv
1778964780335,2026-05-16T20:53:00.335000+00:00,sensor_data_20260516_225339.csv
1778964781556,2026-05-16T20:53:01.556000+00:00,sensor_data_20260516_225339.csv
1778964782811,2026-05-16T20:53:02.811000+00:00,sensor_data_20260516_225339.csv
1778964784001,2026-05-16T20:53:04.001000+00:00,sensor_data_20260516_225339.csv
1778964785230,2026-05-16T20:53:05.230000+00:00,sensor_data_20260516_225339.csv
1778964787737,2026-05-16T20:53:07.737000+00:00,sensor_data_20260516_225339.csv
1778964788965,2026-05-16T20:53:08.965000+00:00,sensor_data_20260516_225339.csv
1778964790163,2026-05-16T20:53:10.163000+00:00,sensor_data_20260516_225339.csv
1778964791372,2026-05-16T20:53:11.372000+00:00,sensor_data_20260516_225339.csv
1778964792508,2026-05-16T20:53:12.508000+00:00,sensor_data_20260516_225339.csv
1778964795040,2026-05-16T20:53:15.040000+00:00,sensor_data_20260516_225339.csv
1778964796340,2026-05-16T20:53:16.340000+00:00,sensor_data_20260516_225339.csv
1778964797565,2026-05-16T20:53:17.565000+00:00,sensor_data_20260516_225339.csv
1778964798808,2026-05-16T20:53:18.808000+00:00,sensor_data_20260516_225339.csv
1778964800006,2026-05-16T20:53:20.006000+00:00,sensor_data_20260516_225339.csv
1778964801216,2026-05-16T20:53:21.216000+00:00,sensor_data_20260516_225339.csv
1778964802649,2026-05-16T20:53:22.649000+00:00,sensor_data_20260516_225339.csv
1778964809123,2026-05-16T20:53:29.123000+00:00,sensor_data_20260516_225339.csv
1778964809686,2026-05-16T20:53:29.686000+00:00,sensor_data_20260516_225339.csv
1778964810264,2026-05-16T20:53:30.264000+00:00,sensor_data_20260516_225339.csv
1778964810940,2026-05-16T20:53:30.940000+00:00,sensor_data_20260516_225339.csv
1778964811357,2026-05-16T20:53:31.357000+00:00,sensor_data_20260516_225339.csv
1778964811806,2026-05-16T20:53:31.806000+00:00,sensor_data_20260516_225339.csv
1778964813320,2026-05-16T20:53:33.320000+00:00,sensor_data_20260516_225339.csv
1778964813763,2026-05-16T20:53:33.763000+00:00,sensor_data_20260516_225339.csv
